City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,alofi,-19.0595,-169.9187,15.94,94,29,0.51,NU,1690297281
83,ancud,-41.8697,-73.8203,9.58,89,92,6.91,CL,1690297282
84,nova sintra,14.8667,-24.7167,22.42,84,55,5.79,CV,1690297282
85,diamantino,-14.4086,-56.4461,33.37,22,0,3.42,BR,1690297282
86,itamaraju,-17.0392,-39.5311,19.84,97,100,0.94,BR,1690297242
87,novo aripuana,-5.1206,-60.3797,35.17,28,1,1.4,BR,1690297283
88,pangody,65.85,74.4859,23.53,59,100,4.04,RU,1690297283
89,ar ruways,24.1103,52.7306,35.09,48,77,2.87,AE,1690297284
90,kalkaman,51.9525,76.0211,25.47,32,63,2.3,KZ,1690297284
91,krasnogorskoye,52.2953,86.1979,19.78,57,95,1.6,RU,1690297284
92,atafu village,-8.5421,-172.5159,28.89,73,0,8.45,TK,1690297284
93,bigaa,13.1978,123.7578,26.54,89,100,7.32,PH,1690297285
94,garachico,28.7781,-17.7646,25.06,61,75,5.14,ES,1690297285
95,susuman,62.7833,148.1667,13.71,88,94,2.35,RU,1690297285
96,sitka,57.0531,-135.33,13.94,82,75,2.57,US,1690297000
97,uturoa,-16.7333,-151.4333,26.54,84,19,6.41,PF,1690297286
98,rio grande,-32.035,-52.0986,16.06,91,100,7.53,BR,1690297286
99,cururupu,-1.8283,-44.8683,31.45,51,50,2.65,BR,1690297286
100,qaqortoq,60.7167,-46.0333,6.71,88,100,2.32,GL,1690297287
101,sosnovo-ozerskoye,52.5249,111.5418,13.53,92,10,1.42,RU,1690297287
102,ta`u,-14.2336,-169.5144,25.54,71,20,5.3,AS,1690297287
103,albany,42.6001,-73.9662,27.12,70,59,0.89,US,1690297288
104,san patricio,28.017,-97.5169,31.94,56,0,3.47,US,1690297288
105,yancheng,33.3856,120.1253,25.68,93,95,3.22,CN,1690297288
106,merizo village,13.2658,144.6691,27.77,91,100,9.93,GU,1690297289
107,al kharj,24.155,47.3346,45.32,6,100,2.62,SA,1690297289
108,chonchi,-42.6128,-73.8092,9.51,93,90,0.68,CL,1690297289
